web-1  | 172.18.0.3 - - [27/May/2026:01:27:07 +0000] "POST /reservations/nouveau/ HTTP/1.1" 302 0 "https://hotels.logertogo.com/reservations/nouveau/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:27:07 +0000] "GET /reservations/3817dbe4-bd5a-4c90-adde-d071c9ae4f2a/ HTTP/1.1" 500 2253 "https://hotels.logertogo.com/reservations/nouveau/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:27:10 +0000] "GET / HTTP/1.1" 302 0 "https://hotels.logertogo.com/reservations/3817dbe4-bd5a-4c90-adde-d071c9ae4f2a/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:27:10 +0000] "GET /dashboard/ HTTP/1.1" 200 23350 "https://hotels.logertogo.com/reservations/3817dbe4-bd5a-4c90-adde-d071c9ae4f2a/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:27:20 +0000] "GET /reservations/ HTTP/1.1" 200 22969 "https://hotels.logertogo.com/dashboard/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:27:32 +0000] "GET /reservations/1a1a9345-1230-47b6-b646-3fffe6e05a8f/ HTTP/1.1" 500 2253 "https://hotels.logertogo.com/reservations/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:30:22 +0000] "GET / HTTP/1.1" 200 183121 "http://157.180.127.70:80/" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
web-1  | 172.18.0.3 - - [27/May/2026:01:37:09 +0000] "GET / HTTP/1.1" 200 183127 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
web-1  | [2026-05-27 01:39:34 +0000] [1] [INFO] Handling signal: term
web-1  | [2026-05-27 01:39:34 +0000] [21] [INFO] Worker exiting (pid: 21)
web-1  | [2026-05-27 01:39:34 +0000] [22] [INFO] Worker exiting (pid: 22)
web-1  | [2026-05-27 01:39:34 +0000] [20] [INFO] Worker exiting (pid: 20)
web-1  | [2026-05-27 01:39:35 +0000] [1] [INFO] Shutting down: Master
web-1  | ═══════════════════════════════════════════════════
web-1  |    Loger Togo — Démarrage Production (Hetzner VPS)
web-1  | ═══════════════════════════════════════════════════
web-1  | [1/5] Attente de la base de données PostgreSQL...
web-1  | [2/5] Application des migrations...
web-1  | Database Engine: django.db.backends.postgresql
web-1  | Operations to perform:
web-1  |   Apply all migrations: admin, ads, auth, blog, chat, contenttypes, logersn, management, sessions, sites, users
web-1  | Running migrations:
web-1  |   No migrations to apply.
web-1  | [3/5] Collecte des fichiers statiques...
web-1  | Database Engine: django.db.backends.postgresql
web-1  | 
web-1  | 516 static files deleted, 276 static files copied to '/app/staticfiles', 240 post-processed, 2 skipped due to conflict.
web-1  |     → Statiques collectés avec succès.
web-1  | [4/5] Compilation des traductions...
web-1  | Database Engine: django.db.backends.postgresql
web-1  |     ⚠ Traductions non compilées (locales absentes - ignoré)
web-1  | [5/5] Démarrage du serveur Gunicorn...
web-1  |     → Workers: 3 | Port: 8000 | Timeout: 120s
web-1  | [2026-05-27 01:39:42 +0000] [1] [INFO] Starting gunicorn 25.3.0
web-1  | [2026-05-27 01:39:42 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
web-1  | [2026-05-27 01:39:42 +0000] [1] [INFO] Using worker: sync
web-1  | [2026-05-27 01:39:42 +0000] [20] [INFO] Booting worker with pid: 20
web-1  | [2026-05-27 01:39:42 +0000] [21] [INFO] Booting worker with pid: 21
web-1  | [2026-05-27 01:39:42 +0000] [22] [INFO] Booting worker with pid: 22
web-1  | [2026-05-27 01:39:42 +0000] [1] [INFO] Control socket listening at /home/django/.gunicorn/gunicorn.ctl
web-1  | Database Engine: django.db.backends.postgresql
web-1  | Database Engine: django.db.backends.postgresql
web-1  | Database Engine: django.db.backends.postgresql
web-1  | 172.18.0.3 - - [27/May/2026:01:40:33 +0000] "GET /reservations/1a1a9345-1230-47b6-b646-3fffe6e05a8f/ HTTP/1.1" 500 2253 "https://hotels.logertogo.com/reservations/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:40:56 +0000] "GET /reservations/ HTTP/1.1" 200 22969 "https://hotels.logertogo.com/dashboard/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:40:59 +0000] "GET /reservations/ HTTP/1.1" 200 22969 "https://hotels.logertogo.com/dashboard/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:41:01 +0000] "GET /favicon.ico HTTP/1.1" 404 2251 "https://hotels.logertogo.com/reservations/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
web-1  | 172.18.0.3 - - [27/May/2026:01:41:02 +0000] "GET /reservations/3817dbe4-bd5a-4c90-adde-d071c9ae4f2a/ HTTP/1.1" 500 2253 "https://hotels.logertogo.com/reservations/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
